position2.dat
 18.8108	0.0321695	6.44306	a-0 :  
 8.99331	-15.6209	6.44943	a-1 :  
-9.44013	-14.471		6.3339	a-2 :  
-17.0698	0.83125		6.01774	a-3 :  
-7.64192	14.8872		6.19301	a-4 :  
 10.413		15.1032		6.53782	a-5 :  
 25.2759	-0.0329861	17.3234	b-0 :  
 11.8657	-19.4309	17.5775	b-1 :  
-11.881		-17.8044	17.5445	b-2 :  
-22.2064	0.999181	17.2306	b-3 :  
-9.71027	18.2004		17.5102	b-4 :  
 13.6862	18.712		17.678	b-5 :  
 25.8209	0.0378127	31.4451	c-0 :  
 12.212		-19.7711	31.5828	c-1 :  
-12.1005	-18.3176	31.5904	c-2 :  
-23.0512	1.09487		31.4441	c-3 :  
-10.0111	18.7213		31.6417	c-4 :  
 13.7869	19.1729		31.5552	c-5 :  
 27.0694	-0.0387341	47.4325	d-0 :  
 12.707		-21.1651	47.5846	d-1 :  
-13.194		-19.5912	47.7551	d-2 :  
-24.8345	1.23278		47.8035	d-3 :  
-10.8664	20.2151		47.8089	d-4 :  
 14.412		20.4495		47.5388	d-5 :  
 27.3547	-0.392104	65.9999	e-0 :  
 12.8351	-22.1157	66.0052	e-1 :  
-14.1376	-20.6994	66.2906	e-2 :  
-26.7625	1.25624		66.4503	e-3 :  
-12.0438	21.68		66.4246	e-4 :  
 14.3402	21.2091		66.0645	e-5 :  
 26.9349	-0.52416	82.77	f-0 :  
 12.2823	-22.0855	82.683	f-1 :  
-14.5035	-20.777		82.8011	f-2 :  
-27.2375	1.6235		82.9382	f-3 :  
-12.4402	22.3907		82.82	f-4 :  
 13.6457	21.2782		82.701	f-5 :  
